"Response ID","Date Submitted","First Name:Principal Author","Last Name:Principal Author","Institution of Principal Author:Principal Author","White Paper Title","White Paper Description (350 character limit)","1:Upload File  "
"129","10 March 2019 5:55:29 pm","Jason","Rhodes","Jet Propulsion Laboratory, California Institute of Technology","The End of Galaxy Surveys","We advocate for defining a path to end the era of galaxy surveys by making the definitive measurements of the galaxy population in the optical/NIR, thereby creating a map of galaxies (and their associated dark matter) throughout the entire visible universe. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/185-f2c0b30df83e68d52d48c63472637e22_RhodesJasonD.pdf"
"130","10 March 2019 5:57:45 pm","Pierre","Cristofari","Gran Sasso Science Institute","Where are the pevatrons?"," The search for cosmic particle accelerators capable of reaching the PeV range, PeVatrons, is a crucial science target of the very-high-energy  community. Such accelerators are essential in the context of the problem of the origin of Galactic cosmic rays, and in order to understand the  mechanisms involved in the production of PeV particles.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/132-ca26c7713c33aab935eaf9fc8c6b10ed_Decadal_PeVatron%282%29.pdf"
"131","10 March 2019 6:07:09 pm","Pierre","Cristofari","Gran Sasso Science Institute","Where are the pevatrons?"," The search for cosmic particle accelerators capable of reaching the PeV range, PeVatrons, is a crucial science target of the very-high-energy  community. Such accelerators are essential in the context of the problem of the origin of Galactic cosmic rays, and in order to understand the  mechanisms involved in the production of PeV particles.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/185-9e2986225a21921642ad96cf9dbde6be_CristofariPierreV.pdf"
"132","10 March 2019 6:14:51 pm","Christopher","Salter","Green Bank Observatory","Radio Scintillation Studies of Comet Ion Tails","Future studies of comet ion tails using scintillation observations of the compact radio sources that they occult.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/184-d179b631a95dd4e91aacd8a9fe989d26_SalterChristopherJ1.pdf"
"133","10 March 2019 6:17:46 pm","Fabio","Pacucci","Kapteyn Astronomical Institute, Yale University","Detecting the Birth of Supermassive Black Holes Formed from Heavy Seeds","We investigate the capabilities required to study supermassive black holes formed by heavy seeds in the early Universe. We show that detecting heavy seeds at z>10 in the next decade will be feasible with upcoming and/or proposed facilities. Their detection will be fundamental to understand the early history of the Universe and its evolution.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/28-a2952df416991e53a28c4d120703054d_PacucciFabio.pdf"
"134","10 March 2019 6:21:41 pm","Barbara","McArthur","University of Texas at Austin","All-Sky Near Infrared Space Astrometry","An all-sky near infrared (NIR)  space observatory operating in the optical NIR, separated in time from the original Gaia would provide microarcsecond NIR astrometry and millimag photometry to penetrate obscured regions unraveling the internal dynamics of the Galaxy. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/132-44579d4253b797efa9471243b67ede1a_McArthurBarbaraE.pdf"
"135","10 March 2019 6:56:01 pm","Michael","Fundator","Rutgers University","Application of timescale, magnitudes, and fractal time with Stein estimators to astronomical observations.","Discussion  of spatial time multiscale multidimensional and multifractal time analysis with different magnitudes through examples  in Number and Algebraic theories and  Tidal Theory  turbulence applied to astronomical observations and  Galaxy suggests  Stein type estimators to more accurate orbits evaluation with  notice by Poincare on Kepler.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/250-9010b50a3aa6b0814add25b38b20d229_Rescue1111.pdf"
"136","10 March 2019 7:01:27 pm","Jean-Luc","Margot","University of California, Los Angeles","Structure of terrestrial planets and ocean worlds","Rotation studies provide a unique window on the interior structure of planetary bodies. The science can be accomplished only with facilities that enable many other astronomical observations.  The Astro2020 decadal survey will make recommendations about the facilities that are critical to the realization of the science described in this white paper.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/137-f6b50a6dda72e185b1f79620e16d3c71_MargotJeanLuc.pdf"
"137","10 March 2019 7:20:56 pm","Xiaohui","Fan","University of Arizona","The First Luminous Quasars and Their Host Galaxies","High-Redshift quasars probe the growth of early supermassive black holes (SMBHs)  in the universe.  In the next decade, new observations will push the frontier to the first luminous quasars at z>9,  probe fainter quasar populations that trace earlier phases of BH  growth, and  connect SMBH growth with the rise of the earliest massive galaxies.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/130-d8d839d58089f4ee3beb98e12c458bd7_FanXiaohui.pdf"
"138","10 March 2019 7:25:10 pm","Chris","Fryer","Los Alamos National Laboratory","Core-Collapse Supernovae and Multi-Messenger Astronomy","Multi-messenger diagnostics for core-collapse supernovae span a wide range of diagnostics including observations across the entire electromagnetic spectrum, neutrinos, cosmic rays, dust grains and, in the future, gravitational waves.  With next generation detectors, these multimessenger signals will probe all aspects of these energetic phenomena.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/250-a9cae0f57890ff00911a1048a4b1f4ae_MMA_SAG_Core_Collapse_Supernovae-7.pdf"
"139","10 March 2019 7:38:26 pm","John","Baker","NASA Goddard Space Flight Center","Multimessenger science opportunities with mHz gravitational waves","We review opportunities for multi-messenger science breakthroughs involving mHz gravitational waves with electromagnetic observations.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/137-509a48b53829042806d7ad94ed7e22b4_BakerJohnG.pdf"
"140","10 March 2019 9:34:55 pm","Tony","Mroczkowski","European Southern Observatory (ESO)","A High-resolution SZ View of the Warm-Hot Universe","We outline advances in the understanding of thermodynamic/kinematic properties of the warm-hot universe that can come through resolved measurements of the Sunyaev Zeldovich effects.  Many advances will be enabled by new (sub)millimeter instrumentation on existing facilities, but truly transformative advances will require new mm/submm facilities.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/118-c95271cb81909b75b7664145e9d5b7ce_tSZ_Decadal_WP.pdf"
"141","10 March 2019 9:34:56 pm","Peter","Behroozi","University of Arizona","Empirically Constraining Galaxy Evolution","Empirical models of galaxy formation have demonstrated both significant successes and significant promise for the next decade.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/100-7c857d0887e9eecd655044bf6030cbb9_BehrooziPeterS.pdf"
"142","10 March 2019 9:42:35 pm","Nikita","Kamraj","California Institute of Technology","Probing the Physical Properties of the Corona in Accreting Black Holes","This white paper explores our current understanding of the corona in Active Galactic Nuclei and discusses important questions to be addressed in the coming decade surrounding the nature of the corona.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/238-bbde3aad8c7636ac8d7b49fe2b36d030_KamrajNikita.pdf"
"143","10 March 2019 10:20:28 pm","Dennis","Zaritsky","University of Arizona","Emission Line Mapping of the Circumgalactic Medium of Nearby Galaxies","The circumgalactic medium (CGM)  is both the reservoir of gas for subsequent star formation and the depository of chemically processed gas, energy, and angular momentum from feedback. We discuss the opportunity to realize spectral-line images of the CGM in individual nearby galaxies. Such work will happen in the next decade.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/249-8410b48a73c7bac9aabcdeebf536a07b_ZaritskyDennisF.pdf"
"144","10 March 2019 10:23:53 pm","Ben","Mazin","University of California Santa Barbara","Directly Imaging Rocky Planets from the Ground","An exploration of the exoplanet science possible using ground-based 30-m class telescopes.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/185-ffa85557f9e51572a8654a78d0036148_Directly_Imaging_Rocky_Planets_from_the_Ground.pdf"
"145","10 March 2019 10:26:52 pm","Wladimir","Lyra","California State University, Northridge","Planet formation – The case for large efforts on the computational side","As advances are expected with ground based interferometers  and the James Webb Space Telescope in the next decade, the central point of this white paper is what efforts on the  computational side are required in the next decade to advance  our theoretical understanding, explain the observational data, and guide new observations? ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/249-e8fd7ef950faf4932b8178ae66a97c6f_LyraWladimir.pdf"
"146","10 March 2019 10:41:43 pm","Daniel","Crichton","Jet Propulsion Laboratory, California Institute of Technology","On the Use of Planetary Science Data for Studying Extrasolar Planets","There is an opportunity to advance solar system and extrasolar planetary studies that does not require new telescopes or new missions but better use and access to data sets.  This approach leverages significant investment from space agencies in exploring the solar system and using those discoveries for the study of extrasolar planets.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/64-766a6eedec33c24e2a4775366ed56193_CrichtonDanielJ.pdf"
"147","10 March 2019 10:46:15 pm","Frank","Schroeder","Bartol Research Institute, Department of Physics and Astronomy, University of Delaware, Newark, DE, USA","High-Energy Galactic Cosmic Rays","The origin of the highest energy Galactic cosmic rays is still not understood, nor is the transition to EeV extragalactic particles. Scientific progress requires enhancements of existing air-shower arrays, such as: IceCube with its surface detector IceTop, and the low-energy extensions of both the Telescope Array and the Pierre Auger Observatory.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/137-e5d7fd02239455357ad41bd1040c182a_SchroederFrankG.pdf"
"148","10 March 2019 10:51:24 pm","Richard","Cartwright","SETI Institute / NASA Ames Research Center","Exploring the composition of icy bodies at the fringes of the Solar System with next generation space telescopes","This paper describes how next generation space telescopes can be used to investigate the compositions of ice giant satellites, icy dwarf planets, and mid-sized Trans-Neptunian Objects, over a wide range of wavelengths. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/132-a331a1adbc1038b765ddb757886bc7fb_CartwrightRichardJ.pdf"
"149","10 March 2019 10:51:55 pm","Massimo","Tinto","University of California San Diego, Center for Astrophysics and Space Sciences","Space-Based Gravitational Wave Observations in the Mid-Band Frequency Region","The opportunity exists to scientifically explore the Gravitation Wave (GW) frequency band that is in between those accessible by LISA and LIGO.  This frequency region could be accessible by a low-cost space-based interferometric detector that relies only on laser interferometry technology similar to that flown onboard the GRACE Follow-On mission.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/37-eb757d6ac5e2b7796672fb85bc612336_TintoMassimo.pdf"
"150","10 March 2019 10:54:55 pm","Vera","Gluscevic","University of Florida","Cosmological Probes of Dark Matter Interactions: The Next Decade","We discuss observational and theoretical advancements that will play pivotal roles in realizing a strong program of cosmological searches for the fundamental nature of dark matter in the coming decade. We focus on next-generation measurements of the CMB anisotropy and spectral distortions, Ly-alpha forest, galaxies, and cosmological 21-cm signals.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/249-bb16d214b06dc6badd733f44fb13db71_GluscevicVera.pdf"
"151","10 March 2019 10:55:44 pm","Joseph","Lazio","Jet Propulsion Laboratory, California Institute of Technology","Magnetic Fields of Extrasolar Planets: Planetary Interiors and Habitability","Generated by internal dynamos, magnetic fields are one of the few remote sensing means of constraining the properties of planetary interiors.  The Earth's magnetic field has been speculated to be partially responsible for its habitability, and knowledge of an extrasolar planet’s magnetic field may be necessary to assess its habitability.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/195-14b3f5a66c671db7212018618667e80f_LazioJoseph.pdf"
"152","10 March 2019 11:03:02 pm","Ian","Roederer","University of Michigan","The astrophysical r-process and the origin of the heaviest elements","The r-process is responsible for production of the heaviest elements, but many open questions remain about its nature. To answer these questions requires meaningful public access to high-resolution, UV/blue/optical spectroscopic instruments on 6-10 m telescopes, 30 m ELTs, and the next generation of space UV facilities.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/188-236ddd2ac14a30ddf195bac5d6929b52_RoedererIanU.pdf"
"153","10 March 2019 11:21:03 pm","Loren","Anderson","West Virginia University","HII Regions and the Warm Ionized Medium","Plasma of temperature 10,000K is created by OB stars and takes the form of discrete HII regions and diffuse gas. It is the key to determining the impact of massive stars on the interstellar medium (ISM) and the lifecycle of ISM gas. We review research this plasma, highlight outstanding questions, and provide recommendations for future facilities.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/184-0f8f7d01ce4a3915e99e4bc35c505ceb_AndersonLorenD.pdf"
"154","10 March 2019 11:45:52 pm","Enrique","Lopez-Rodriguez","SOFIA Science Center / NASA AMES Center","Tracing the feeding and feedback of active galaxies","Active galaxies accrete mass from their surroundings, and inject energy and mass to the galactic medium through outflows. The interface between the active galaxy and host galaxy is a region of a few pc in size with a gas and dust flow cycle.  In the coming decade, we will demonstrate more directly the active role of the torus in galaxy evolution.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/28-125c2046c206e71a86392d2694c0c6f8_LopezRodriguezEnrique.pdf"
"155","10 March 2019 11:48:07 pm","Eric","Lopez","NASA Goddard Space Flight Center","Understanding Exoplanet Atmospheres with UV Observations II: The Far UV and Atmospheric Escape","In this white paper we focus on the science case for exoplanet observations in the far-UV (FUV); an accompanying white paper led by Jessie Christiansen will focus on the science case in the NUV and blue/optical.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/37-d388968d370de1b316b3a207af822dea_LopezEricD.pdf"
"157","11 March 2019 12:21:11 am","Jeremy","Darling","University of Colorado","Extragalactic Proper Motions:  Gravitational Waves and Cosmology","We review the cosmological and local phenomena revealed by correlated extragalactic proper motions, their expected amplitudes, the current best measurements (if any), and predictions for Gaia.  We describe key ground- and space-based observational requirements to measure or constrain these proper motion signals at the level of 100 nanoarcsec/year.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/188-c79ec72601e58d15026fde9b436359d3_DarlingJeremyK.pdf"
"158","11 March 2019 12:28:39 am","Alex","Kim","Lawrence Berkeley National Laboratory","Testing Gravity Using Type Ia Supernovae Discovered by Next-Generation Wide-Field Imaging Surveys","In the next decade the peculiar velocities of SNe~Ia in the local $z<0.3$ Universe will provide a measure of $\gamma$ to $\pm 0.01$ precision that can definitively distinguish  between General Relativity and leading models of alternative gravity.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/54-9a9172d19f753a8fa9a472f7c4e1990b_KimAlexG.pdf"
"159","11 March 2019 12:29:22 am","David","Reitze","California Institute of Technology","The US Program in Ground-Based Gravitational Wave Science: Contribution from the LIGO Laboratory","This white paper presents a synopsis of the scientific opportunities afforded by Cosmic Explorer, a gravitational-wave observatory for the 2030s, and presents an overview of the technical developments needed in the 2020s to enable their construction.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/132-aa5ddaa3731446b9e007386ae54958e0_LIGOScienceWhitePaper.pdf"
"161","11 March 2019 12:38:59 am","Steven","Furlanetto","University of California Los Angeles","Synergies Between Galaxy Surveys and Reionization Measurements","The epoch of reionization is one of the most exciting frontiers in astrophysics. Here we describe how the combination of galaxy surveys and direct 21-cm measurements of reionization can illuminate numerous mysteries of this fascinating era.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/28-325c4814d71937c7d1024196556f21d1_Astro2020_furlanetto_21cmgalaxy.pdf"
"162","11 March 2019 12:41:27 am","Steven","Furlanetto","University of California Los Angeles","Insights Into the Epoch of Reionization with the Highly-Redshifted 21-cm Line","We describe how direct measurements of the reionization process with the 21-cm line of neutral hydrogen will enable science investigations of that era.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/238-cafcf8529a20ca9ced6ae9725ec1487e_Astro2020_furlanetto_reionization.pdf"
"163","11 March 2019 12:43:55 am","Steven","Furlanetto","University of California Los Angeles","Fundamental Cosmology in the Dark Ages with 21-cm Line Fluctuations","We describe how 21-cm measurements of the ""Dark Ages,"" between cosmological recombination and the formation of the first luminous sources, can enable new tests of cosmology. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/100-69171f03f949f9947a76a088af807aa5_Astro2020_furlanetto_darkages.pdf"
"164","11 March 2019 1:01:18 am","Andrew","Newman","Carnegie Institution for Science","Resolving Galaxy Formation at Cosmic Noon","We describe opportunities to transform our view of galaxy evolution at Cosmic Noon (z~2) by spatially resolving both early galaxies and their surrounding gaseous media using the angular resolution and sensitivity uniquely afforded by extremely large telescopes.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/249-68b35027668c75148dc983ece46900ff_NewmanAndrewB.pdf"
"165","11 March 2019 1:05:08 am","Jonathan","Fortney","University of California, Santa Cruz","The Need for Laboratory Measurements and Ab Initio Studies to Aid Understanding of Exoplanetary Atmospheres","We are now in the new era of the characterization of exoplanet atmospheres.  However, atmosphere models are often limited by insufficiencies in the laboratory and theoretical data that serve as critical inputs. Here we provide descriptions of areas where new investigations could fill critical gaps in our ability to model exoplanet atmospheres.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/195-811a090a82e202274bcd6a9c1c6e8afd_FortneyJonathanJ.pdf"
"166","11 March 2019 1:09:55 am","Jeremy","Darling","University of Colorado","A Formaldehyde Deep Field","A formaldehyde deep field (FDF) can provide a blind, mass-limited survey of molecular gas across the history of star formation and galaxy evolution.  We present a fiducial FDF that would span redshifts z = 0–7 and use formaldehyde line ratios to measure the molecular hydrogen number density for z > 0.45.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/198-8ea43122a9b26ed43cf4467a0c963213_DarlingJeremy.pdf"
"167","11 March 2019 1:28:26 am","Gwen C.","Rudie","Carnegie Institution for Science","Observing Galaxies and Dissecting their Baryon Cycle at Cosmic Noon","We describe new observations possible with wide-field spectroscopy on an ELT that can transform our understanding of galactic winds and the baryon cycle and their effect on galaxy evolution at z~2-3.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/132-0774caf1fad699cdd3c6159691180949_RudieGwenC.pdf"
"168","11 March 2019 1:33:32 am","Adam","Kowalski","University of Colorado, National Solar Observatory","Developing a vision for exoplanetary transit spectroscopy:  a shared window on the analysis of planetary atmospheres and of stellar magnetic structure","We describe how accurate exoplanet atmospheres’ characterization will inevitably require taking into consideration stellar inhomogeneities caused by convection and magnetic fields. Disentangling hese two components requires a multipronged approach with new solar reference spectra, MHD modeling, and collaborations among astrophysics communities.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/185-6566fbe82dce9b1e9def5475c5f895ec_KowalskiAdamF-2020.pdf"
"169","11 March 2019 1:40:43 am","Henric","Krawczynski","Washington University in Saint Louis","Using X-Ray Polarimetry to Probe the Physics of Black Holes and Neutron Stars","This white paper highlights compact object and fundamental physics science opportunities afforded by high-throughput broadband (0.1-60 keV) X-ray polarization observations. The polarimetric observations can reveal the inner workings of high-energy sources, and allow us to test physical laws in the extreme conditions close to compact objects.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/28-99d2dd22aa19bfdfe20db255acdcc8eb_XrayPolarizationWhitePaper.pdf"
"170","11 March 2019 1:57:33 am","Elena","Orlando","Kavli Institute for Particle Astrophysics and Cosmology and Hansen Experimental Physics Laboratory, Stanford University","Cosmic Rays and interstellar medium with Gamma-Ray Observations at MeV Energies","We discuss the scientific prospects for studying cosmic rays and interstellar medium by observing  gamma rays at MeV with unprecedented sensitivity and resolution. Low-energy cosmic rays and their sources, spectra all over the Galaxy, abundances, transport properties, and their role on the Galaxy evolution and star formation will be accessed.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/37-74c4c18b243ac6ba5320e73dd0bb3101_OrlandoElena.pdf"
"171","11 March 2019 1:58:54 am","Arjun","Dey","National Optical Astronomy Observatory","Mass Spectroscopy of the Milky Way","Massively multiplexed spectroscopic surveys of Milky Way stars will revolutionize our understanding of our Galaxy's structural components, revealing their past history and the small-scale structure of its dark matter halo. A spectroscopic survey of 10^8 stars,  previously unimaginable, is now within reach of new instruments in the coming decade.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/132-2beb830b8ba3cc7f1ae506db5a6f3c4b_DeyArjun.pdf"
"172","11 March 2019 2:04:22 am","Chien-Hsiu","Lee","NOAO","Identification and characterization of the host stars in planetary microlensing with ELTs","We propose to robustly and routinely measure the masses of exoplanets beyond 1 AU from their host stars with the microlensing method, by directly imaging the host star with ELTs. A direct result from this project will be planet occurrence rate beyond the snow line, which will enable us to discern different planet formation mechanisms.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/238-c7b4b97a43d2412328758455bd605bde_LeeChienHsiu.pdf"
"173","11 March 2019 2:32:08 am","Joshua","Simon","Carnegie Observatories","Testing the Nature of Dark Matter with Extremely Large Telescopes","Extremely large telescopes can critically test the predictions of the LambdaCDM model on small scales via the three-dimensional motions of stars in dwarf galaxies and integral field spectroscopy of gravitationally lensed galaxies and quasars.  Such observations will conclusively determine whether dark matter is cold and collisionless. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/238-f7f26924c77f1a8394446fcb53505cb2_SimonJoshuaD.pdf"
"174","11 March 2019 2:45:47 am","Thayne","Currie","NASA-Ames Research Center","The Critical Strategic Importance of Adaptive Optics-Assisted Ground-Based Telescopes for the Success of Future NASA Exoplanet Direct Imaging Missions","We describe how ground-based exoplanet direct imaging -- in the next decade with current telescopes and beyond with ELTs, through science programs and technological development  -- is a key, strategic investment to help ensure the success of future NASA direct imaging missions (i.e. HabEx/LUVOIR).  ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/64-cb406e5099524a03e0d941448f218dc7_CurrieThayneM.pdf"
"175","11 March 2019 3:15:34 am","Sara","Price","Harvard-Smithsonian Center for Astrophysics","Picturing a Panchromatic Past and Future","This white paper sets forth a few examples of impressive multi-wavelength discoveries by the Great Observatories, taken from a comprehensive analysis of Chandra press and image releases, in order to argue for a similar panchromatic approach in planning for future missions.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/137-98b04fb198fe5d55ce4a3ba2db449b3f_PriceSaraR.pdf"
"176","11 March 2019 3:57:50 am","Makoto","Kishimoto","Kyoto Sangyo University","Exploring Active Supermassive Black Holes at 100 Micro-arcsecond Resolution","Super-high spatial resolution observations in the infrared are now enabling major advances in our understanding of supermassive black hole systems at the centers of galaxies.  We describe the discovery potential of the current and future long-baseline interferometry in the infrared in this field.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/238-4bb42417d73d553998522a0c7d64da41_KishimotoMakoto.pdf"
"177","11 March 2019 4:12:43 am","Vianney","Lebouteiller","Laboratoire AIM, CEA, CNRS, Université Paris-Saclay, Université Paris Diderot, Sorbonne Paris Cité, F-91191 Gif-sur-Yvette, France","ISM and CGM in external galaxies","We describe possible avenues for measuring properties of the interstellar and circumgalactic medium (ISM, CGM) in external galaxies through far-UV absorption lines. We discuss in particular chemical abundances, the molecular gas reservoir and the thermal balance in the metal-poor ISM and the kinematics and ionization structure of the CGM.  ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/130-7597e309c6ff72bd6ed1b1b7452891fe_astro2020_lebouteiller.pdf"
"178","11 March 2019 4:13:11 am","Joshua","Krissansen-Totton","University of Washington","Atmospheric disequilibrium as an exoplanet biosignature: Opportunities for next generation telescopes","We explore atmospheric chemical disequilibrium as an exoplanet biosignature and argue that a CH4+CO2 combination could be a common sign of life on planets with oxygen-free atmospheres such as the ancient Earth. This biosignature combination is potentially detectable with JWST and readily detectable with some next generation space-based telescopes.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/100-d7a6323d53cd70c96cf28cd55195665a_KrissansenTottonJoshua.pdf"
"179","11 March 2019 5:20:34 am","Daniel","Green","University of California San Diego","Messengers from the Early Universe: Cosmic Neutrinos and Other Light Relics","Measurements of the radiation density of the universe offer a broad window into both cosmic history and particle physics. Future cosmological observations, in particular of the cosmic microwave background, could reach clear observational targets that would lead to insights into nature and our universe that cannot be obtained by any other means.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/188-78f00740f02426ce2eef5978888dbb02_GreenDanielR.pdf"
"180","11 March 2019 5:43:18 am","Frédéric","Marin","Université de Strasbourg, CNRS, Observatoire Astronomique de Strasbourg, UMR7550, F-67000 Strasbourg, France","The role of Active Galactic Nuclei in galaxy evolution: insights from space ultraviolet spectropolarimetry","Although the global properties of Active Galactic Nuclei (AGN) seem today rather understood, the details of AGN physics and the impact of AGN on galaxy evolution are still poorly constrained. We describe how a space telescope with a large collecting area able to provide UV spectropolarimetry can help us make great progress in this area.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/96-a3a328edc649ff3e28e3f6ed6bf35c62_MarinFrederic.pdf"
"181","11 March 2019 6:04:19 am","Kathryn","Kreckel","Max Planck Institute for Astronomy","Mapping Gas Phase Abundances and Enrichment Patterns Across Galaxy Disks","In the coming decade we will map abundances of 1000s of HII regions within galaxies. This will allow us to understand the role of feedback and turbulence in driving the mixing and diffusion of metals in the ISM,  search for over- and under-enriched regions, and resolve systematic uncertainties plaguing nebular abundance diagnostics. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/195-7e01573d7b7f313c8f8d55b04d825ec9_KreckelKathryn.pdf"
"182","11 March 2019 6:25:37 am","Mercedes","Lopez-Morales","Center foe Astrophysics | Harvard & Smithsonian","Detecting Earth-like Biosignatures on Rocky Exoplanets around Nearby Stars with Ground-based Extremely Large Telescopes","As we begin to discover rocky planets in the habitable zone of nearby stars, we will need quick advancements on instrumentation and observational techniques that will enable us to answer  how similar or dissimilar are those planets to Earth?  Ground-based ELTs combined with future space missions will be key to detect biosignatures.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/185-3f552999af97c784404f410ea095d2e6_LopezmoralesMercedes.pdf"
"183","11 March 2019 6:58:33 am","Ian","Roederer","University of Michigan","The First Stars and the Origin of the Elements","No metal-free ""first stars"" have yet been found. We describe a survey strategy that could find one or more such stars or exclude their existence at reasonable confidence. This survey would leverage unique aspects of a two-hemisphere US-ELT system to characterize the nature of the elusive generation of first stars.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/250-3f3e23e904e70d5b824bcca902ed363b_RoedererIanU.pdf"
"184","11 March 2019 7:22:15 am","Karin","Oberg","Harvard University","Astrochemical Origins of Planetary Systems","White paper outlines the chemical processes that regulate and affect the outcome of planet formation, and makes recommendations on future observatories and laboratory and theory support needed to address outstanding questions.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/54-b7668e5bdb3b8943cc86013f6c8fa8f0_Astrochemistry_White_Paper.pdf"
"185","11 March 2019 7:32:00 am","Larry","Lesyna","LXL Technology","A Technosignature Carrying a Message Will Likely Inform us of Crucial Biological Details of Life Outside our Solar System","We should search for interstellar messages because they probably contain a rich source of biological information about extraterrestrial life.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/130-e85d63dfd73a7ea91e1ab374dbac7391_LesynaLarry.pdf"
"186","11 March 2019 7:30:52 am","Karin","Oberg","Harvard University","Astrochemical Origins of Planetary Systems","White paper outlines the chemical processes that regulate and affect the outcome of planet formation, and makes recommendations on future observatories and laboratory and theory support needed to address outstanding questions.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/100-b487dcb28b72f448b49da93eb58bcc89_Astrochemistry_White_Paper.pdf"
"187","11 March 2019 8:08:50 am","Alexander","Ji","Carnegie Observatories","Local Dwarf Galaxy Archaeology","Local dwarf galaxies retain a record of high-redshift and metal-poor stellar populations. Resolved stellar spectroscopy provides insights into the first stars and galaxies, the smallest dark matter halos, and the first stellar explosions. ELTs with multi-object R=5k-30k spectroscopy will enable such studies for galaxies throughout the Local Group.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/250-43ab7247cc2f936854964dd94fe576f0_JiAlexanderP.pdf"
